Prefix,Rank_code,Scientific_name,Number_of_fragments,Percentage
Bem_54,P,Candidatus Neomarinimicrobiota,539,0.00
Bem_54,P1,unclassified Candidatus Neomarinimicrobiota,534,0.00
Bem_54,P1,environmental samples,5,0.00
Bem_54,P,Candidatus Hydrogenedentota,161,0.00
Bem_54,P1,unclassified Candidatus Hydrogenedentota,161,0.00
Bem_54,D1,PVC group,28687,0.12
Bem_54,P,Planctomycetota,25660,0.11
Bem_54,P1,unclassified Planctomycetota,1985,0.01
Bem_54,P,Verrucomicrobiota,2056,0.01
Bem_54,P1,environmental samples,179,0.00
Bem_54,P1,unclassified Verrucomicrobiota,32,0.00
Bem_54,P,Lentisphaerota,498,0.00
Bem_54,P1,unclassified Lentisphaerota,100,0.00
Bem_54,P,Candidatus Omnitrophota,190,0.00
Bem_54,P1,unclassified Candidatus Omnitrophota,190,0.00
Bem_54,P,Kiritimatiellota,106,0.00
Bem_54,P,Chlamydiota,44,0.00
Bem_54,P,Myxococcota,21495,0.09
Bem_54,P1,Polyangia,7774,0.03
Bem_54,P,Thermodesulfobacteriota,17039,0.07
Bem_54,P,Acidobacteriota,9624,0.04
Bem_54,P1,unclassified Acidobacteriota,5070,0.02
Bem_54,D1,Bacteria incertae sedis,3270,0.01
Bem_54,D2,Bacteria candidate phyla,3270,0.01
Bem_54,D3,Patescibacteria group,701,0.00
Bem_54,D4,Parcubacteria group,613,0.00
Bem_54,P,Candidatus Moraniibacteriota,184,0.00
Bem_54,P1,unclassified Candidatus Moraniibacteriota,184,0.00
Bem_54,P,Candidatus Nomurabacteria,162,0.00
Bem_54,P1,unclassified Candidatus Nomurabacteria,162,0.00
Bem_54,P,Candidatus Kaiserbacteria,72,0.00
Bem_54,P1,unclassified Candidatus Kaiserbacteria,72,0.00
Bem_54,P,Candidatus Falkowbacteria,65,0.00
Bem_54,P1,unclassified Candidatus Falkowbacteria,65,0.00
Bem_54,P,Candidatus Nealsonbacteria,45,0.00
Bem_54,P1,unclassified Candidatus Nealsonbacteria,4,0.00
Bem_54,P,Candidatus Uhrbacteria,40,0.00
Bem_54,P1,unclassified Candidatus Uhrbacteria,40,0.00
Bem_54,P,Candidatus Parcubacteria,24,0.00
Bem_54,P1,unclassified Candidatus Parcubacteria,24,0.00
Bem_54,P,Candidatus Campbellbacteria,11,0.00
Bem_54,P1,unclassified Candidatus Campbellbacteria,11,0.00
Bem_54,D4,Microgenomates group,70,0.00
Bem_54,P,Candidatus Woesebacteria,70,0.00
Bem_54,P1,unclassified Candidatus Woesebacteria,70,0.00
Bem_54,D4,unclassified Patescibacteria group,8,0.00
Bem_54,P,Candidatus Gracilibacteria,2,0.00
Bem_54,P1,unclassified Candidatus Gracilibacteria,2,0.00
Bem_54,P,candidate division WOR-3,650,0.00
Bem_54,P,Candidatus Coatesbacteria,430,0.00
Bem_54,P1,unclassified Candidatus Coatesbacteria,430,0.00
Bem_54,P,Candidatus Aminicenantes,396,0.00
Bem_54,P1,unclassified Candidatus Aminicenantes,396,0.00
Bem_54,P,Candidatus Saccharibacteria,299,0.00
Bem_54,P1,unclassified Candidatus Saccharibacteria,299,0.00
Bem_54,P,Candidatus Peregrinibacteria,258,0.00
Bem_54,P1,unclassified Candidatus Peregrinibacteria,99,0.00
Bem_54,P,Candidatus Eisenbacteria,239,0.00
Bem_54,P1,unclassified Candidatus Eisenbacteria,239,0.00
Bem_54,P,Candidatus Bipolaricaulota,219,0.00
Bem_54,P1,unclassified Candidatus Bipolaricaulota,219,0.00
Bem_54,D3,Candidatus Dojkabacteria,32,0.00
Bem_54,P,Candidatus Poribacteria,2,0.00
Bem_54,P1,environmental samples,2,0.00
Bem_54,D1,Nitrospinae/Tectomicrobia group,2380,0.01
Bem_54,P,Nitrospinota,2380,0.01
Bem_54,D1,unclassified Bacteria,2220,0.01
Bem_54,D1,delta/epsilon subdivisions,1845,0.01
Bem_54,P,Elusimicrobiota,982,0.00
Bem_54,P1,unclassified Elusimicrobiota,982,0.00
Bem_54,P,Spirochaetota,696,0.00
Bem_54,P1,unclassified Spirochaetota,95,0.00
Bem_54,P,Campylobacterota,553,0.00
Bem_54,P,Synergistota,372,0.00
Bem_54,P1,unclassified Synergistota,372,0.00
Bem_54,P,Calditrichota,314,0.00
Bem_54,P,Bdellovibrionota,96,0.00
Bem_54,P,Aquificota,68,0.00
Bem_54,P1,unclassified Aquificota,52,0.00
Bem_54,D1,environmental samples,44,0.00
Bem_54,P,Thermotogota,15,0.00
Bem_54,P,Atribacterota,4,0.00
Bem_54,P1,Atribacterota incertae sedis,4,0.00
Bem_54,P,Fusobacteriota,3,0.00
Bem_54,D,Archaea,88846,0.37
Bem_54,D1,TACK group,87075,0.37
Bem_54,P,Nitrososphaerota,86835,0.37
Bem_54,P1,Nitrososphaerota incertae sedis,5319,0.02
Bem_54,P2,Marine Group I,4150,0.02
Bem_54,P3,environmental samples,281,0.00
Bem_54,P,Candidatus Bathyarchaeota,197,0.00
Bem_54,P1,unclassified Candidatus Bathyarchaeota,194,0.00
Bem_54,P,Thermoproteota,13,0.00
Bem_54,P,Euryarchaeota,1438,0.01
Bem_54,P1,Stenosarchaea group,1342,0.01
Bem_54,P1,unclassified Euryarchaeota,49,0.00
Bem_54,P1,Methanomada group,2,0.00
Bem_54,P,Candidatus Thermoplasmatota,166,0.00
Bem_54,P1,DHVE2 group,2,0.00
Bem_54,D1,DPANN group,41,0.00
Bem_54,P,Candidatus Aenigmatarchaeota,18,0.00
Bem_54,P1,unclassified Candidatus Aenigmatarchaeota,18,0.00
Bem_54,P,Candidatus Woesearchaeota,15,0.00
Bem_54,P1,unclassified Candidatus Woesearchaeota,15,0.00
Bem_54,P,Candidatus Diapherotrites,5,0.00
Bem_54,P1,unclassified Candidatus Diapherotrites,5,0.00
Bem_54,P,Candidatus Micrarchaeota,2,0.00
Bem_54,P1,unclassified Candidatus Micrarchaeota,2,0.00
Bem_54,D2,Candidatus Pacearchaeota,1,0.00
Bem_54,D3,unclassified Candidatus Pacearchaeota,1,0.00
Bem_54,D1,Asgard group,40,0.00
Bem_54,P,Candidatus Heimdallarchaeota,17,0.00
Bem_54,P1,unclassified Candidatus Heimdallarchaeota,17,0.00
Bem_54,P,Candidatus Thorarchaeota,14,0.00
Bem_54,P1,unclassified Candidatus Thorarchaeota,14,0.00
Bem_54,P,Candidatus Lokiarchaeota,9,0.00
Bem_54,P1,unclassified Candidatus Lokiarchaeota,9,0.00
Bem_54,D1,unclassified Archaea,28,0.00
Hel39,U,unclassified,21111338,97.51
Hel39,R,root,539860,2.49
Hel39,R1,cellular organisms,539860,2.49
Hel39,D,Bacteria,531752,2.46
Hel39,P,Pseudomonadota,323263,1.49
Hel39,P1,unclassified Pseudomonadota,1238,0.01
Hel39,P1,environmental samples,141,0.00
Hel39,D1,FCB group,102462,0.47
Hel39,D2,Bacteroidota/Chlorobiota group,100311,0.46
Hel39,P,Bacteroidota,98392,0.45
Hel39,P1,environmental samples,1827,0.01
Hel39,P1,unclassified Bacteroidota,542,0.00
Hel39,P,Balneolota,590,0.00
Hel39,P,Ignavibacteriota,563,0.00
Hel39,P1,unclassified Ignavibacteriota,155,0.00
Hel39,P,Rhodothermota,213,0.00
Hel39,P,Chlorobiota,106,0.00
Hel39,P1,unclassified Chlorobiota,95,0.00
Hel39,P,Gemmatimonadota,1262,0.01
Hel39,P1,unclassified Gemmatimonadota,1026,0.00
Hel39,P1,environmental samples,22,0.00
Hel39,P,Candidatus Zixiibacteriota,341,0.00
Hel39,P,Candidatus Latescibacterota,297,0.00
Hel39,P1,unclassified Candidatus Latescibacterota,297,0.00
Hel39,P,Candidatus Neomarinimicrobiota,131,0.00
Hel39,P1,unclassified Candidatus Neomarinimicrobiota,129,0.00
Hel39,P1,environmental samples,2,0.00
Hel39,P,Candidatus Hydrogenedentota,36,0.00
Hel39,P1,unclassified Candidatus Hydrogenedentota,36,0.00
Hel39,D1,Terrabacteria group,44939,0.21
Hel39,P,Actinomycetota,20020,0.09
Hel39,P1,unclassified Actinomycetota,2246,0.01
Hel39,P,Bacillota,10544,0.05
Hel39,P1,unclassified Bacillota,4,0.00
Hel39,D2,Cyanobacteriota/Melainabacteria group,10049,0.05
Hel39,P,Cyanobacteriota,9788,0.05
Hel39,P,Candidatus Melainabacteria,207,0.00
Hel39,P1,unclassified Candidatus Melainabacteria,207,0.00
Hel39,P,Chloroflexota,1884,0.01
Hel39,P1,unclassified Chloroflexota,208,0.00
Hel39,P,Deinococcota,577,0.00
Hel39,P,Mycoplasmatota,451,0.00
Hel39,P1,unclassified Mycoplasmatota,336,0.00
Hel39,P,Armatimonadota,283,0.00
Hel39,P1,unclassified Armatimonadota,283,0.00
Hel39,D1,PVC group,13024,0.06
Hel39,P,Planctomycetota,9707,0.04
Hel39,P1,unclassified Planctomycetota,531,0.00
Hel39,P,Verrucomicrobiota,2822,0.01
Hel39,P1,environmental samples,317,0.00
Hel39,P1,unclassified Verrucomicrobiota,36,0.00
Hel39,P,Lentisphaerota,186,0.00
Hel39,P1,unclassified Lentisphaerota,65,0.00
Hel39,P,Kiritimatiellota,122,0.00
Hel39,P1,unclassified Kiritimatiellota,2,0.00
Hel39,P,Candidatus Omnitrophota,85,0.00
Hel39,P1,unclassified Candidatus Omnitrophota,85,0.00
Hel39,P,Chlamydiota,30,0.00
Hel39,P,Myxococcota,3278,0.02
Hel39,P1,Polyangia,1399,0.01
Hel39,P,Thermodesulfobacteriota,3045,0.01
Hel39,D1,Bacteria incertae sedis,2083,0.01
Hel39,D2,Bacteria candidate phyla,2083,0.01
Hel39,D3,Patescibacteria group,1102,0.01
Hel39,D4,Parcubacteria group,838,0.00
Hel39,P,Candidatus Nomurabacteria,387,0.00
Hel39,P1,unclassified Candidatus Nomurabacteria,387,0.00
Hel39,P,Candidatus Parcubacteria,115,0.00
Hel39,P1,unclassified Candidatus Parcubacteria,115,0.00
Hel39,P,Candidatus Kaiserbacteria,101,0.00
Hel39,P1,unclassified Candidatus Kaiserbacteria,101,0.00
Hel39,P,Candidatus Moraniibacteriota,92,0.00
Hel39,P1,unclassified Candidatus Moraniibacteriota,92,0.00
Hel39,P,Candidatus Campbellbacteria,40,0.00
Hel39,P1,unclassified Candidatus Campbellbacteria,40,0.00
Hel39,P,Candidatus Falkowbacteria,30,0.00
Hel39,P1,unclassified Candidatus Falkowbacteria,30,0.00
Hel39,P,Candidatus Uhrbacteria,30,0.00
Hel39,P1,unclassified Candidatus Uhrbacteria,30,0.00
Hel39,P,Candidatus Nealsonbacteria,26,0.00
Hel39,P1,unclassified Candidatus Nealsonbacteria,9,0.00
Hel39,D4,unclassified Patescibacteria group,206,0.00
Hel39,P,Candidatus Gracilibacteria,29,0.00
Hel39,P1,unclassified Candidatus Gracilibacteria,29,0.00
Hel39,D4,Microgenomates group,25,0.00
Hel39,P,Candidatus Woesebacteria,25,0.00
Hel39,P1,unclassified Candidatus Woesebacteria,25,0.00
Hel39,P,Candidatus Saccharibacteria,293,0.00
Hel39,P1,unclassified Candidatus Saccharibacteria,293,0.00
Hel39,P,Candidatus Peregrinibacteria,185,0.00
Hel39,P1,unclassified Candidatus Peregrinibacteria,83,0.00
Hel39,P,candidate division WOR-3,158,0.00
Hel39,P,Candidatus Aminicenantes,111,0.00
Hel39,P1,unclassified Candidatus Aminicenantes,111,0.00
Hel39,P,Candidatus Coatesbacteria,88,0.00
Hel39,P1,unclassified Candidatus Coatesbacteria,88,0.00
Hel39,P,Candidatus Eisenbacteria,46,0.00
Hel39,P1,unclassified Candidatus Eisenbacteria,46,0.00
Hel39,D3,Candidatus Dojkabacteria,27,0.00
Hel39,P,Candidatus Bipolaricaulota,25,0.00
Hel39,P1,unclassified Candidatus Bipolaricaulota,25,0.00
Hel39,P,Candidatus Poribacteria,1,0.00
Hel39,P1,environmental samples,1,0.00
Hel39,D1,unclassified Bacteria,1437,0.01
Hel39,P,Campylobacterota,1372,0.01
Hel39,P,Acidobacteriota,1204,0.01
Hel39,P1,unclassified Acidobacteriota,733,0.00
Hel39,P,Nitrospirota,1151,0.01
Hel39,P1,unclassified Nitrospirota,525,0.00
Hel39,D1,delta/epsilon subdivisions,815,0.00
Hel39,P,Elusimicrobiota,195,0.00
Hel39,P1,unclassified Elusimicrobiota,195,0.00
Hel39,P,Spirochaetota,166,0.00
Hel39,P1,unclassified Spirochaetota,38,0.00
Hel39,D1,Nitrospinae/Tectomicrobia group,151,0.00
Hel39,P,Nitrospinota,135,0.00
Hel39,P,Candidatus Tectomicrobia,16,0.00
Hel39,P,Bdellovibrionota,101,0.00
Hel39,P,Calditrichota,94,0.00
Hel39,P,Synergistota,83,0.00
Hel39,P1,unclassified Synergistota,83,0.00
Hel39,D1,environmental samples,77,0.00
Hel39,P,Aquificota,19,0.00
Hel39,P1,unclassified Aquificota,15,0.00
Hel39,P,Thermotogota,13,0.00
Hel39,P,Fusobacteriota,7,0.00
Hel39,D,Archaea,7725,0.04
Hel39,D1,TACK group,7170,0.03
Hel39,P,Nitrososphaerota,7116,0.03
Hel39,P1,Nitrososphaerota incertae sedis,289,0.00
Hel39,P2,Marine Group I,241,0.00
Hel39,P3,environmental samples,2,0.00
Hel39,P,Candidatus Bathyarchaeota,48,0.00
Hel39,P1,unclassified Candidatus Bathyarchaeota,46,0.00
Hel39,P,Thermoproteota,4,0.00
Hel39,P,Euryarchaeota,395,0.00
Hel39,P1,Stenosarchaea group,371,0.00
Hel39,P1,unclassified Euryarchaeota,10,0.00
Hel39,P1,Methanomada group,2,0.00
Hel39,P,Candidatus Thermoplasmatota,85,0.00
Hel39,P1,DHVE2 group,1,0.00
Hel39,D1,DPANN group,46,0.00
Hel39,P,Candidatus Woesearchaeota,20,0.00
Hel39,P1,unclassified Candidatus Woesearchaeota,17,0.00
Hel39,P1,environmental samples,3,0.00
Hel39,P,Candidatus Aenigmatarchaeota,16,0.00
Hel39,P1,unclassified Candidatus Aenigmatarchaeota,16,0.00
Hel39,P,Candidatus Diapherotrites,9,0.00
Hel39,P1,unclassified Candidatus Diapherotrites,9,0.00
Hel39,P,Candidatus Micrarchaeota,1,0.00
Hel39,P1,unclassified Candidatus Micrarchaeota,1,0.00
Hel39,D1,Asgard group,16,0.00
Hel39,P,Candidatus Heimdallarchaeota,7,0.00
Hel39,P1,unclassified Candidatus Heimdallarchaeota,7,0.00
Hel39,P,Candidatus Thorarchaeota,5,0.00
Hel39,P1,unclassified Candidatus Thorarchaeota,5,0.00
Hel39,P,Candidatus Lokiarchaeota,4,0.00
Hel39,P1,unclassified Candidatus Lokiarchaeota,4,0.00
Hel39,D1,unclassified Archaea,7,0.00
Hel57,U,unclassified,24820064,97.48
Hel57,R,root,642146,2.52
Hel57,R1,cellular organisms,642146,2.52
Hel57,D,Bacteria,638451,2.51
Hel57,P,Pseudomonadota,352390,1.38
Hel57,P1,unclassified Pseudomonadota,1050,0.00
Hel57,P1,environmental samples,183,0.00
Hel57,D1,FCB group,168623,0.66
Hel57,D2,Bacteroidota/Chlorobiota group,167080,0.66
Hel57,P,Bacteroidota,164576,0.65
Hel57,P1,environmental samples,2803,0.01
Hel57,P1,unclassified Bacteroidota,651,0.00
Hel57,P,Balneolota,794,0.00
Hel57,P,Ignavibacteriota,703,0.00
Hel57,P1,unclassified Ignavibacteriota,236,0.00
Hel57,P,Rhodothermota,162,0.00
Hel57,P,Chlorobiota,115,0.00
Hel57,P1,unclassified Chlorobiota,100,0.00
Hel57,P,Gemmatimonadota,796,0.00
Hel57,P1,unclassified Gemmatimonadota,650,0.00
Hel57,P1,environmental samples,10,0.00
Hel57,P,Candidatus Zixiibacteriota,336,0.00
Hel57,P,Candidatus Latescibacterota,210,0.00
Hel57,P1,unclassified Candidatus Latescibacterota,210,0.00
Hel57,P,Candidatus Neomarinimicrobiota,103,0.00
Hel57,P1,unclassified Candidatus Neomarinimicrobiota,103,0.00
Hel57,P,Candidatus Hydrogenedentota,32,0.00
Hel57,P1,unclassified Candidatus Hydrogenedentota,32,0.00
Hel57,D1,Terrabacteria group,54243,0.21
Hel57,D2,Cyanobacteriota/Melainabacteria group,18483,0.07
Hel57,P,Cyanobacteriota,17970,0.07
Hel57,P,Candidatus Melainabacteria,424,0.00
Hel57,P1,unclassified Candidatus Melainabacteria,424,0.00
Hel57,P,Actinomycetota,15676,0.06
Hel57,P1,unclassified Actinomycetota,1783,0.01
Hel57,P,Bacillota,14845,0.06
Hel57,P1,unclassified Bacillota,3,0.00
Hel57,P,Chloroflexota,2125,0.01
Hel57,P1,unclassified Chloroflexota,181,0.00
Hel57,P,Mycoplasmatota,811,0.00
Hel57,P1,unclassified Mycoplasmatota,662,0.00
Hel57,P,Deinococcota,528,0.00
Hel57,P,Armatimonadota,294,0.00
Hel57,P1,unclassified Armatimonadota,294,0.00
Hel57,D1,PVC group,11397,0.04
Hel57,P,Planctomycetota,8396,0.03
Hel57,P1,unclassified Planctomycetota,567,0.00
Hel57,P,Verrucomicrobiota,2538,0.01
Hel57,P1,environmental samples,353,0.00
Hel57,P1,unclassified Verrucomicrobiota,57,0.00
Hel57,P,Lentisphaerota,146,0.00
Hel57,P1,unclassified Lentisphaerota,59,0.00
Hel57,P,Candidatus Omnitrophota,127,0.00
Hel57,P1,unclassified Candidatus Omnitrophota,127,0.00
Hel57,P,Kiritimatiellota,90,0.00
Hel57,P,Chlamydiota,51,0.00
Hel57,P,Myxococcota,2611,0.01
Hel57,P1,Polyangia,1119,0.00
Hel57,P,Thermodesulfobacteriota,2442,0.01
Hel57,D1,Bacteria incertae sedis,2279,0.01
Hel57,D2,Bacteria candidate phyla,2279,0.01
Hel57,D3,Patescibacteria group,1322,0.01
Hel57,D4,Parcubacteria group,884,0.00
Hel57,P,Candidatus Nomurabacteria,300,0.00
Hel57,P1,unclassified Candidatus Nomurabacteria,300,0.00
Hel57,P,Candidatus Parcubacteria,227,0.00
Hel57,P1,unclassified Candidatus Parcubacteria,227,0.00
Hel57,P,Candidatus Moraniibacteriota,87,0.00
Hel57,P1,unclassified Candidatus Moraniibacteriota,87,0.00
Hel57,P,Candidatus Kaiserbacteria,81,0.00
Hel57,P1,unclassified Candidatus Kaiserbacteria,81,0.00
Hel57,P,Candidatus Campbellbacteria,69,0.00
Hel57,P1,unclassified Candidatus Campbellbacteria,69,0.00
Hel57,P,Candidatus Falkowbacteria,56,0.00
Hel57,P1,unclassified Candidatus Falkowbacteria,56,0.00
Hel57,P,Candidatus Uhrbacteria,29,0.00
Hel57,P1,unclassified Candidatus Uhrbacteria,29,0.00
Hel57,P,Candidatus Nealsonbacteria,26,0.00
Hel57,P1,unclassified Candidatus Nealsonbacteria,17,0.00
Hel57,D4,unclassified Patescibacteria group,346,0.00
Hel57,D4,Microgenomates group,61,0.00
Hel57,P,Candidatus Woesebacteria,61,0.00
Hel57,P1,unclassified Candidatus Woesebacteria,61,0.00
Hel57,P,Candidatus Gracilibacteria,28,0.00
Hel57,P1,unclassified Candidatus Gracilibacteria,28,0.00
Hel57,P,Candidatus Saccharibacteria,263,0.00
Hel57,P1,unclassified Candidatus Saccharibacteria,263,0.00
Hel57,P,Candidatus Peregrinibacteria,178,0.00
Hel57,P1,unclassified Candidatus Peregrinibacteria,82,0.00
Hel57,P,candidate division WOR-3,156,0.00
Hel57,P,Candidatus Aminicenantes,143,0.00
Hel57,P1,unclassified Candidatus Aminicenantes,143,0.00
Hel57,P,Candidatus Coatesbacteria,43,0.00
Hel57,P1,unclassified Candidatus Coatesbacteria,43,0.00
Hel57,P,Candidatus Eisenbacteria,41,0.00
Hel57,P1,unclassified Candidatus Eisenbacteria,41,0.00
Hel57,P,Candidatus Bipolaricaulota,35,0.00
Hel57,P1,unclassified Candidatus Bipolaricaulota,35,0.00
Hel57,D3,Candidatus Dojkabacteria,21,0.00
Hel57,P,Candidatus Poribacteria,1,0.00
Hel57,P1,environmental samples,1,0.00
Hel57,P,Campylobacterota,2198,0.01
Hel57,D1,unclassified Bacteria,2019,0.01
Hel57,P,Nitrospirota,1113,0.00
Hel57,P1,unclassified Nitrospirota,637,0.00
Hel57,D1,delta/epsilon subdivisions,1038,0.00
Hel57,P,Acidobacteriota,841,0.00
Hel57,P1,unclassified Acidobacteriota,577,0.00
Hel57,P,Spirochaetota,180,0.00
Hel57,P1,unclassified Spirochaetota,47,0.00
Hel57,P,Bdellovibrionota,159,0.00
Hel57,P,Elusimicrobiota,146,0.00
Hel57,P1,unclassified Elusimicrobiota,146,0.00
Hel57,D1,Nitrospinae/Tectomicrobia group,130,0.00
Hel57,P,Nitrospinota,90,0.00
Hel57,P,Candidatus Tectomicrobia,40,0.00
Hel57,D1,environmental samples,94,0.00
Hel57,P,Calditrichota,84,0.00
Hel57,P,Synergistota,81,0.00
Hel57,P1,unclassified Synergistota,81,0.00
Hel57,P,Thermotogota,27,0.00
Hel57,P,Aquificota,14,0.00
Hel57,P1,unclassified Aquificota,13,0.00
Hel57,P,Fusobacteriota,13,0.00
Hel57,D,Archaea,3308,0.01
Hel57,D1,TACK group,2715,0.01
Hel57,P,Nitrososphaerota,2667,0.01
Hel57,P1,Nitrososphaerota incertae sedis,140,0.00
Hel57,P2,Marine Group I,119,0.00
Hel57,P,Candidatus Bathyarchaeota,46,0.00
Hel57,P1,unclassified Candidatus Bathyarchaeota,45,0.00
Hel57,P,Thermoproteota,2,0.00
Hel57,P,Euryarchaeota,343,0.00
Hel57,P1,Stenosarchaea group,306,0.00
Hel57,P1,unclassified Euryarchaeota,12,0.00
Hel57,P1,Methanomada group,5,0.00
Hel57,P,Candidatus Thermoplasmatota,108,0.00
Hel57,P1,DHVE2 group,6,0.00
Hel57,D1,Asgard group,57,0.00
Hel57,P,Candidatus Heimdallarchaeota,29,0.00
Hel57,P1,unclassified Candidatus Heimdallarchaeota,29,0.00
Hel57,P,Candidatus Lokiarchaeota,24,0.00
Hel57,P1,unclassified Candidatus Lokiarchaeota,24,0.00
Hel57,P,Candidatus Thorarchaeota,4,0.00
Hel57,P1,unclassified Candidatus Thorarchaeota,4,0.00
Hel57,D1,DPANN group,36,0.00
Hel57,P,Candidatus Woesearchaeota,26,0.00
Hel57,P1,unclassified Candidatus Woesearchaeota,26,0.00
Hel57,P,Candidatus Aenigmatarchaeota,8,0.00
Hel57,P1,unclassified Candidatus Aenigmatarchaeota,8,0.00
Hel57,P,Candidatus Diapherotrites,1,0.00
Hel57,P1,unclassified Candidatus Diapherotrites,1,0.00
Hel57,D2,Candidatus Pacearchaeota,1,0.00
Hel57,D3,unclassified Candidatus Pacearchaeota,1,0.00
Hel57,D1,unclassified Archaea,7,0.00
Hel60,U,unclassified,25481452,97.51
Hel60,R,root,649473,2.49
Hel60,R1,cellular organisms,649473,2.49
Hel60,D,Bacteria,643652,2.46
Hel60,P,Pseudomonadota,349941,1.34
Hel60,P1,unclassified Pseudomonadota,1208,0.00
Hel60,P1,environmental samples,118,0.00
Hel60,D1,FCB group,176127,0.67
Hel60,D2,Bacteroidota/Chlorobiota group,174147,0.67
Hel60,P,Bacteroidota,171397,0.66
Hel60,P1,environmental samples,2606,0.01
Hel60,P1,unclassified Bacteroidota,702,0.00
Hel60,P,Balneolota,949,0.00
Hel60,P,Ignavibacteriota,706,0.00
Hel60,P1,unclassified Ignavibacteriota,188,0.00
Hel60,P,Rhodothermota,178,0.00
Hel60,P,Chlorobiota,152,0.00
Hel60,P1,unclassified Chlorobiota,137,0.00
Hel60,P,Gemmatimonadota,1051,0.00
Hel60,P1,unclassified Gemmatimonadota,886,0.00
Hel60,P1,environmental samples,10,0.00
Hel60,P,Candidatus Zixiibacteriota,400,0.00
Hel60,P,Candidatus Latescibacterota,269,0.00
Hel60,P1,unclassified Candidatus Latescibacterota,269,0.00
Hel60,P,Candidatus Neomarinimicrobiota,141,0.00
Hel60,P1,unclassified Candidatus Neomarinimicrobiota,138,0.00
Hel60,P1,environmental samples,3,0.00
Hel60,P,Candidatus Hydrogenedentota,30,0.00
Hel60,P1,unclassified Candidatus Hydrogenedentota,30,0.00
Hel60,D1,Terrabacteria group,54068,0.21
Hel60,P,Actinomycetota,19004,0.07
Hel60,P1,unclassified Actinomycetota,2136,0.01
Hel60,P,Bacillota,15174,0.06
Hel60,P1,unclassified Bacillota,2,0.00
Hel60,D2,Cyanobacteriota/Melainabacteria group,14823,0.06
Hel60,P,Cyanobacteriota,14418,0.06
Hel60,P,Candidatus Melainabacteria,352,0.00
Hel60,P1,unclassified Candidatus Melainabacteria,352,0.00
Hel60,P,Chloroflexota,2026,0.01
Hel60,P1,unclassified Chloroflexota,192,0.00
Hel60,P,Mycoplasmatota,754,0.00
Hel60,P1,unclassified Mycoplasmatota,602,0.00
Hel60,P,Deinococcota,650,0.00
Hel60,P,Armatimonadota,282,0.00
Hel60,P1,unclassified Armatimonadota,282,0.00
Hel60,D1,PVC group,11676,0.04
Hel60,P,Planctomycetota,8890,0.03
Hel60,P1,unclassified Planctomycetota,487,0.00
Hel60,P,Verrucomicrobiota,2311,0.01
Hel60,P1,environmental samples,356,0.00
Hel60,P1,unclassified Verrucomicrobiota,54,0.00
Hel60,P,Lentisphaerota,172,0.00
Hel60,P1,unclassified Lentisphaerota,68,0.00
Hel60,P,Candidatus Omnitrophota,100,0.00
Hel60,P1,unclassified Candidatus Omnitrophota,100,0.00
Hel60,P,Kiritimatiellota,89,0.00
Hel60,P1,unclassified Kiritimatiellota,2,0.00
Hel60,P,Chlamydiota,52,0.00
Hel60,P,Myxococcota,2856,0.01
Hel60,P1,Polyangia,1286,0.00
Hel60,P,Thermodesulfobacteriota,2596,0.01
Hel60,D1,Bacteria incertae sedis,2412,0.01
Hel60,D2,Bacteria candidate phyla,2412,0.01
Hel60,D3,Patescibacteria group,1418,0.01
Hel60,D4,Parcubacteria group,995,0.00
Hel60,P,Candidatus Nomurabacteria,426,0.00
Hel60,P1,unclassified Candidatus Nomurabacteria,426,0.00
Hel60,P,Candidatus Parcubacteria,175,0.00
Hel60,P1,unclassified Candidatus Parcubacteria,175,0.00
Hel60,P,Candidatus Kaiserbacteria,91,0.00
Hel60,P1,unclassified Candidatus Kaiserbacteria,91,0.00
Hel60,P,Candidatus Moraniibacteriota,89,0.00
Hel60,P1,unclassified Candidatus Moraniibacteriota,89,0.00
Hel60,P,Candidatus Campbellbacteria,68,0.00
Hel60,P1,unclassified Candidatus Campbellbacteria,68,0.00
Hel60,P,Candidatus Falkowbacteria,63,0.00
Hel60,P1,unclassified Candidatus Falkowbacteria,63,0.00
Hel60,P,Candidatus Nealsonbacteria,36,0.00
Hel60,P1,unclassified Candidatus Nealsonbacteria,19,0.00
Hel60,P,Candidatus Uhrbacteria,26,0.00
Hel60,P1,unclassified Candidatus Uhrbacteria,26,0.00
Hel60,D4,unclassified Patescibacteria group,330,0.00
Hel60,D4,Microgenomates group,57,0.00
Hel60,P,Candidatus Woesebacteria,57,0.00
Hel60,P1,unclassified Candidatus Woesebacteria,57,0.00
Hel60,P,Candidatus Gracilibacteria,28,0.00
Hel60,P1,unclassified Candidatus Gracilibacteria,28,0.00
Hel60,P,Candidatus Saccharibacteria,267,0.00
Hel60,P1,unclassified Candidatus Saccharibacteria,267,0.00
Hel60,P,Candidatus Peregrinibacteria,203,0.00
Hel60,P1,unclassified Candidatus Peregrinibacteria,96,0.00
Hel60,P,candidate division WOR-3,187,0.00
Hel60,P,Candidatus Aminicenantes,161,0.00
Hel60,P1,unclassified Candidatus Aminicenantes,161,0.00
Hel60,P,Candidatus Coatesbacteria,45,0.00
Hel60,P1,unclassified Candidatus Coatesbacteria,45,0.00
Hel60,P,Candidatus Bipolaricaulota,36,0.00
Hel60,P1,unclassified Candidatus Bipolaricaulota,36,0.00
Hel60,P,Candidatus Eisenbacteria,35,0.00
